Time/us,Voltage/V
-562.0,-0.0163694
-561.52,-0.0169407
-561.04,-0.0167622
-560.5600000000001,-0.0170835
-560.0799999999999,-0.0166908
-559.6,-0.0171192
-559.12,-0.0173692
-558.6400000000001,-0.0171549
-558.16,-0.016976400000000003
-557.6800000000001,-0.016833599999999997
-557.2,-0.016833599999999997
-556.7199999999999,-0.017190599999999997
-556.24,-0.0169407
-555.76,-0.017190599999999997
-555.28,-0.0172978
-554.8,-0.0171549
-554.32,-0.017440599999999997
-553.84,-0.0172263
-553.36,-0.0171549
-552.88,-0.016619400000000003
-552.4,-0.0171549
-551.92,-0.0172978
-551.4399999999999,-0.0169407
-550.96,-0.0173692
-550.48,-0.0166908
-550.0,-0.016905
-549.52,-0.0171549
-549.0400000000001,-0.016976400000000003
-548.56,-0.016869299999999997
-548.08,-0.0172263
-547.6,-0.0169407
-547.1199999999999,-0.0167265
-546.64,-0.016869299999999997
-546.16,-0.016619400000000003
-545.6800000000001,-0.0159767
-545.1999999999999,-0.016298
-544.72,-0.0166551
-544.24,-0.0164051
-543.76,-0.0172978
-543.28,-0.016869299999999997
-542.8000000000001,-0.0167622
-542.32,-0.0172978
-541.8399999999999,-0.0162623
-541.36,-0.0167979
-540.88,-0.016583599999999997
-540.4,-0.0162266
-539.92,-0.0160124
-539.44,-0.0164408
-538.96,-0.016583599999999997
-538.48,-0.0165479
-538.0,-0.0165122
-537.52,-0.017190599999999997
-537.04,-0.016583599999999997
-536.56,-0.0166551
-536.08,-0.0157624
-535.5999999999999,-0.0166551
-535.12,-0.0160481
-534.64,-0.0162266
-534.1600000000001,-0.0160481
-533.68,-0.015869499999999998
-533.2,-0.0158338
-532.72,-0.0158338
-532.24,-0.0159767
-531.76,-0.016476499999999998
-531.28,-0.016333700000000003
-530.8000000000001,-0.0167265
-530.3199999999999,-0.0163694
-529.84,-0.0169407
-529.36,-0.0166908
-528.88,-0.0166908
-528.4,-0.0160124
-527.9200000000001,-0.0161195
-527.44,-0.0161195
-526.9599999999999,-0.015869499999999998
-526.48,-0.0155482
-526.0,-0.0156553
-525.52,-0.0160838
-525.04,-0.0157267
-524.5600000000001,-0.016190899999999998
-524.0799999999999,-0.0159767
-523.6,-0.0155839
-523.12,-0.0155482
-522.6400000000001,-0.0157624
-522.16,-0.0161552
-521.68,-0.0161195
-521.2,-0.016476499999999998
-520.7199999999999,-0.0161195
-520.24,-0.0159052
-519.76,-0.0161195
-519.2800000000001,-0.0160124
-518.8,-0.015869499999999998
-518.32,-0.016190899999999998
-517.84,-0.0154054
-517.36,-0.015084
-516.88,-0.0152268
-516.4,-0.0159052
-515.92,-0.0160124
-515.4399999999999,-0.0161552
-514.96,-0.016333700000000003
-514.48,-0.0165122
-514.0,-0.0159052
-513.52,-0.015869499999999998
-513.0400000000001,-0.0160124
-512.56,-0.0160124
-512.0799999999999,-0.0157981
-511.6,-0.015691
-511.12,-0.0161552
-510.64,-0.016833599999999997
-510.15999999999997,-0.0160838
-509.68,-0.0157981
-509.19999999999993,-0.0164051
-508.71999999999997,-0.0158338
-508.24,-0.0162266
-507.76000000000005,-0.0156553
-507.28,-0.0163694
-506.8,-0.0160124
-506.32000000000005,-0.0165122
-505.84,-0.0166551
-505.36,-0.016976400000000003
-504.88000000000005,-0.0169407
-504.4,-0.0167265
-503.91999999999996,-0.016619400000000003
-503.44,-0.016476499999999998
-502.96000000000004,-0.0167979
-502.47999999999996,-0.0167265
-502.0,-0.016833599999999997
-501.52000000000004,-0.016619400000000003
-501.03999999999996,-0.0171192
-500.56,-0.0172621
-500.08000000000004,-0.0171192
-499.6,-0.016833599999999997
-499.11999999999995,-0.016869299999999997
-498.64,-0.0166551
-498.16,-0.0166551
-497.67999999999995,-0.0167979
-497.2,-0.016583599999999997
-496.72,-0.0170478
-496.23999999999995,-0.0169407
-495.76,-0.0165122
-495.28000000000003,-0.0164051
-494.80000000000007,-0.0165479
-494.31999999999994,-0.016333700000000003
-493.84,-0.0157624
-493.36,-0.016476499999999998
-492.87999999999994,-0.0164408
-492.4,-0.0159767
-491.92,-0.0158338
-491.44000000000005,-0.0162266
-490.96,-0.0159052
-490.48,-0.0157981
-490.00000000000006,-0.0156553
-489.52,-0.0161552
-489.03999999999996,-0.0159409
-488.56,-0.0159767
-488.08000000000004,-0.0155125
-487.59999999999997,-0.0157981
-487.12,-0.0155839
-486.64000000000004,-0.0154768
-486.16,-0.0152268
-485.68,-0.0154411
-485.20000000000005,-0.0155839
-484.72,-0.0155839
-484.23999999999995,-0.0160838
-483.76,-0.0154768
-483.28,-0.0154768
-482.8,-0.0152625
-482.32,-0.0154054
-481.84,-0.014798400000000001
-481.36,-0.0151554
-480.88,-0.0151911
-480.40000000000003,-0.0155839
-479.92,-0.0153697
-479.44,-0.0149412
-478.96,-0.0151197
-478.47999999999996,-0.0154054
-478.0,-0.0149055
-477.52,-0.014584100000000001
-477.04,-0.015334
-476.56,-0.0155125
-476.08,-0.0151554
-475.6,-0.0149412
-475.12,-0.014834100000000001
-474.64000000000004,-0.0153697
-474.15999999999997,-0.015619599999999999
-473.68,-0.0151911
-473.2,-0.014798400000000001
-472.71999999999997,-0.0151554
-472.24,-0.0152982
-471.76,-0.0154411
-471.28000000000003,-0.015084
-470.8,-0.015619599999999999
-470.32,-0.015084
-469.84000000000003,-0.0155482
-469.36,-0.015691
-468.88,-0.0155839
-468.4,-0.0151911
-467.91999999999996,-0.0159052
-467.44,-0.0151911
-466.96,-0.015334
-466.48,-0.0159409
-466.0,-0.0160481
