Time/us,Current/uA
-842.37,-1.5838541033434652
-841.6999999999999,-1.8853191489361703
-841.02,-1.862127659574468
-840.3499999999999,-2.047647416413374
-839.6800000000001,-1.6766109422492401
-839.01,-1.5142826747720366
-838.3399999999999,-1.746179331306991
-837.66,-1.746179331306991
-836.99,-1.746179331306991
-836.32,-1.9316990881458966
-835.65,-2.047647416413374
-834.98,-1.8157507598784193
-834.3,-1.5374741641337388
-833.63,-1.6766109422492401
-832.96,-1.7229908814589667
-832.29,-1.8157507598784193
-831.62,-1.9085075987841946
-830.94,-1.862127659574468
-830.27,-1.7693708206686931
-829.6,-1.6766109422492401
-828.9300000000001,-1.7693708206686931
-828.26,-1.4215258358662612
-827.58,-1.746179331306991
-826.91,-1.7693708206686931
-826.24,-1.6302310030395133
-825.57,-1.491094224924012
-824.9,-1.491094224924012
-824.22,-1.491094224924012
-823.55,-1.4447142857142856
-822.88,-1.491094224924012
-822.21,-1.491094224924012
-821.54,-1.8157507598784193
-820.86,-1.6534224924012157
-820.1899999999999,-1.6302310030395133
-819.52,-1.5142826747720366
-818.85,-1.491094224924012
-818.18,-1.5142826747720366
-817.5,-1.4215258358662612
-816.83,-1.6998024316109424
-816.16,-1.5142826747720366
-815.49,-1.1664407294832828
-814.82,-1.28238905775076
-814.14,-1.3751458966565349
-813.47,-1.28238905775076
-812.8,-1.3287659574468087
-812.13,-1.491094224924012
-811.46,-1.2128176291793313
-810.7800000000001,-1.4215258358662612
-810.11,-1.3519574468085107
-809.4399999999999,-1.5838541033434652
-808.7700000000001,-1.5142826747720366
-808.1,-1.5838541033434652
-807.4200000000001,-1.746179331306991
-806.75,-1.1664407294832828
-806.0799999999999,-1.2591975683890577
-805.4100000000001,-1.491094224924012
-804.74,-0.9809209726443767
-804.0600000000001,-1.6070425531914894
-803.39,-1.5142826747720366
-802.72,-1.6998024316109424
-802.05,-1.6302310030395133
-801.38,-1.3983343465045592
-800.7,-1.004112462006079
-800.03,-1.5142826747720366
-799.36,-1.6302310030395133
-798.6899999999999,-1.4679057750759879
-798.02,-1.6302310030395133
-797.3399999999999,-1.3983343465045592
-796.6700000000001,-1.7693708206686931
