Time/us,Voltage/V
-962.13,-0.00450543
-961.36,-0.0047038
-960.59,-0.00459698
-959.8199999999999,-0.00453595
-959.0600000000001,-0.00474957
-958.2900000000001,-0.00476483
-957.52,-0.00468854
-956.75,-0.00459698
-955.98,-0.00467328
-955.2199999999999,-0.00461224
-954.4499999999999,-0.00455121
-953.68,-0.0046275
-952.91,-0.00445966
-952.14,-0.00458173
-951.38,-0.00452069
-950.61,-0.0047038
-949.84,-0.00474957
-949.07,-0.00476483
-948.3,-0.00450543
-947.54,-0.00456647
-946.7700000000001,-0.00455121
-946.0,-0.00461224
-945.23,-0.00459698
-944.46,-0.00456647
-943.6999999999999,-0.0044444
-942.93,-0.0046275
-942.16,-0.00464276
-941.39,-0.00491742
-940.62,-0.00476483
-939.86,-0.00459698
-939.09,-0.00452069
-938.32,-0.00456647
-937.5500000000001,-0.00476483
-936.78,-0.00474957
-936.02,-0.0047038
-935.25,-0.00447491
-934.4799999999999,-0.00481061
-933.7099999999999,-0.00465802
-932.9399999999999,-0.00468854
-932.18,-0.00467328
-931.41,-0.00456647
-930.64,-0.00473431
-929.87,-0.00464276
-929.1,-0.00474957
-928.34,-0.0047038
-927.57,-0.00484113
-926.8000000000001,-0.00484113
-926.0300000000001,-0.00467328
-925.26,-0.00473431
-924.5,-0.00452069
-923.73,-0.00456647
-922.9599999999999,-0.00471906
-922.1899999999999,-0.0047038
-921.42,-0.00449017
-920.66,-0.00456647
-919.89,-0.0046275
-919.12,-0.00471906
-918.35,-0.00474957
-917.58,-0.00474957
-916.8199999999999,-0.00484113
-916.05,-0.00479535
-915.28,-0.00476483
-914.51,-0.00473431
-913.74,-0.00484113
-912.98,-0.00481061
-912.21,-0.00478009
-911.4399999999999,-0.00449017
-910.67,-0.00461224
-909.9,-0.00476483
-909.14,-0.00478009
-908.37,-0.00471906
-907.6,-0.00474957
-906.83,-0.00456647
-906.0600000000001,-0.00452069
-905.3,-0.00465802
-904.53,-0.00464276
-903.76,-0.00465802
-902.99,-0.00467328
-902.2199999999999,-0.00464276
-901.46,-0.00456647
-900.69,-0.00482587
-899.92,-0.00459698
-899.15,-0.00471906
-898.38,-0.00468854
-897.62,-0.00473431
-896.85,-0.00452069
-896.08,-0.00467328
-895.3100000000001,-0.00456647
-894.5400000000001,-0.00471906
-893.78,-0.00467328
-893.01,-0.00464276
-892.24,-0.00450543
-891.47,-0.00459698
-890.6999999999999,-0.00461224
-889.94,-0.00467328
-889.1700000000001,-0.00465802
-888.4,-0.00468854
-887.63,-0.00468854
-886.86,-0.00481061
-886.0999999999999,-0.00473431
-885.3299999999999,-0.00481061
-884.56,-0.00479535
-883.79,-0.00467328
-883.02,-0.00478009
-882.26,-0.00473431
-881.49,-0.0047038
-880.72,-0.00481061
-879.95,-0.00476483
-879.18,-0.00465802
-878.4200000000001,-0.00456647
-877.6500000000001,-0.0047038
-876.88,-0.00456647
-876.11,-0.00482587
-875.34,-0.00484113
-874.5799999999999,-0.0047038
-873.81,-0.00455121
-873.04,-0.00482587
-872.27,-0.00473431
-871.5,-0.00482587
-870.74,-0.00468854
-869.97,-0.00471906
-869.2,-0.0048869
-868.4300000000001,-0.00473431
-867.66,-0.00449017
-866.9,-0.00468854
-866.13,-0.00471906
-865.36,-0.00468854
-864.59,-0.0047038
-863.82,-0.00445966
-863.06,-0.0047038
-862.29,-0.00464276
-861.52,-0.00473431
-860.75,-0.00467328
-859.98,-0.00478009
-859.22,-0.00453595
-858.45,-0.00467328
-857.6800000000001,-0.00467328
-856.91,-0.0046275
-856.14,-0.00458173
-855.38,-0.00464276
-854.61,-0.00459698
-853.8399999999999,-0.00471906
-853.0699999999999,-0.00464276
-852.3,-0.0047038
-851.54,-0.00458173
-850.77,-0.00467328
-850.0,-0.00447491
-849.23,-0.00445966
-848.46,-0.00456647
-847.7,-0.00468854
-846.9300000000001,-0.00456647
-846.1600000000001,-0.00447491
-845.39,-0.00441388
-844.62,-0.00461224
-843.86,-0.00449017
-843.0899999999999,-0.0046275
-842.3199999999999,-0.0046275
-841.55,-0.00471906
-840.78,-0.00467328
-840.02,-0.00465802
-839.25,-0.00465802
-838.48,-0.00476483
-837.71,-0.00465802
-836.94,-0.00458173
-836.18,-0.00452069
-835.41,-0.0046275
-834.64,-0.00464276
-833.87,-0.00461224
-833.1,-0.00479535
-832.34,-0.00473431
-831.5699999999999,-0.00471906
-830.8,-0.0046275
-830.03,-0.0047038
-829.26,-0.00471906
-828.5,-0.00478009
-827.73,-0.0047038
-826.96,-0.00458173
-826.19,-0.00465802
-825.4200000000001,-0.00453595
-824.66,-0.0047038
-823.89,-0.00464276
-823.12,-0.00473431
-822.3499999999999,-0.0046275
-821.5799999999999,-0.00455121
-820.82,-0.00478009
-820.05,-0.00478009
-819.28,-0.00467328
-818.51,-0.00464276
-817.74,-0.00452069
-816.98,-0.00464276
-816.21,-0.00464276
-815.44,-0.00447491
-814.6700000000001,-0.00458173
-813.9000000000001,-0.00468854
-813.14,-0.00474957
-812.37,-0.00452069
-811.6,-0.00449017
-810.8299999999999,-0.00456647
-810.06,-0.00474957
-809.3000000000001,-0.00461224
-808.53,-0.00467328
-807.76,-0.0046275
-806.99,-0.00459698
-806.22,-0.0047038
-805.4599999999999,-0.00484113
-804.6899999999999,-0.00478009
-803.92,-0.00481061
-803.15,-0.00447491
-802.38,-0.00455121
-801.62,-0.00467328
-800.85,-0.00473431
-800.08,-0.00459698
-799.31,-0.00473431
-798.54,-0.00453595
-797.7800000000001,-0.00449017
-797.01,-0.00468854
-796.24,-0.00485638
-795.47,-0.00476483
-794.7,-0.0047038
-793.9399999999999,-0.00455121
-793.17,-0.00455121
-792.4,-0.00465802
-791.63,-0.00468854
-790.86,-0.00465802
-790.1,-0.00467328
-789.33,-0.00435284
-788.5600000000001,-0.00447491
-787.79,-0.00449017
-787.02,-0.00455121
-786.26,-0.00474957
-785.49,-0.00465802
-784.72,-0.00453595
-783.95,-0.00450543
-783.1800000000001,-0.0046275
-782.42,-0.00456647
-781.65,-0.00465802
-780.88,-0.00461224
-780.11,-0.0046275
-779.34,-0.00473431
-778.58,-0.00484113
-777.8100000000001,-0.00479535
-777.0400000000001,-0.0047038
-776.27,-0.00449017
-775.5,-0.0044444
-774.74,-0.00467328
-773.9699999999999,-0.00465802
-773.1999999999999,-0.0046275
-772.43,-0.00464276
-771.66,-0.00471906
-770.9,-0.00467328
-770.13,-0.00474957
-769.36,-0.00459698
-768.59,-0.00467328
-767.82,-0.00484113
-767.0600000000001,-0.0047038
-766.2900000000001,-0.00478009
-765.5200000000001,-0.0046275
-764.75,-0.00458173
-763.98,-0.00465802
-763.22,-0.00474957
-762.4499999999999,-0.00474957
-761.68,-0.00449017
-760.91,-0.00468854
-760.14,-0.00467328
-759.38,-0.00471906
-758.61,-0.00471906
-757.84,-0.00484113
-757.07,-0.00459698
-756.3,-0.00452069
-755.54,-0.00458173
-754.77,-0.00481061
-754.0,-0.00464276
-753.23,-0.00467328
-752.46,-0.00450543
-751.7,-0.00459698
-750.93,-0.00458173
-750.16,-0.00478009
-749.39,-0.00465802
-748.62,-0.00474957
-747.86,-0.00455121
-747.09,-0.00455121
-746.32,-0.00449017
-745.5500000000001,-0.00449017
-744.78,-0.00473431
-744.02,-0.00455121
-743.25,-0.00459698
-742.4799999999999,-0.00458173
-741.7099999999999,-0.00450543
-740.9399999999999,-0.00465802
-740.1800000000001,-0.00465802
-739.41,-0.00467328
-738.64,-0.00474957
-737.87,-0.00476483
-737.1,-0.00476483
-736.34,-0.00467328
-735.57,-0.00482587
-734.8000000000001,-0.00473431
-734.0300000000001,-0.00476483
-733.26,-0.00461224
-732.5,-0.00478009
-731.73,-0.00468854
-730.9599999999999,-0.00471906
-730.1899999999999,-0.00476483
-729.42,-0.00468854
-728.66,-0.0047038
-727.89,-0.00468854
-727.12,-0.0046275
-726.35,-0.0047038
-725.58,-0.00473431
-724.8199999999999,-0.00476483
-724.05,-0.00456647
-723.28,-0.00478009
-722.51,-0.00474957
-721.7399999999999,-0.00484113
-720.98,-0.00478009
-720.21,-0.00499371
-719.4399999999999,-0.0047038
-718.67,-0.00468854
-717.9,-0.0046275
-717.14,-0.00491742
-716.37,-0.00485638
-715.6,-0.00484113
-714.83,-0.00478009
-714.0600000000001,-0.00482587
-713.3,-0.00476483
-712.53,-0.00484113
-711.76,-0.00493268
-710.99,-0.00476483
-710.2199999999999,-0.00461224
-709.46,-0.00468854
-708.69,-0.00478009
-707.92,-0.0049632
-707.15,-0.0047038
-706.38,-0.00474957
-705.62,-0.0047038
-704.85,-0.00458173
-704.08,-0.00456647
-703.3100000000001,-0.00484113
-702.5400000000001,-0.0047038
-701.78,-0.0047038
-701.01,-0.00456647
-700.24,-0.00456647
-699.47,-0.00461224
-698.6999999999999,-0.00456647
-697.94,-0.00464276
-697.1700000000001,-0.00461224
-696.4,-0.00467328
-695.63,-0.00449017
-694.86,-0.00474957
-694.0999999999999,-0.00468854
-693.3299999999999,-0.00481061
-692.56,-0.0046275
-691.79,-0.00471906
-691.02,-0.00474957
-690.26,-0.00452069
-689.49,-0.0047038
-688.72,-0.00476483
-687.95,-0.00459698
-687.18,-0.00467328
-686.4200000000001,-0.0044444
-685.6500000000001,-0.00449017
-684.88,-0.0044444
-684.11,-0.00459698
-683.34,-0.00447491
-682.5799999999999,-0.00455121
-681.81,-0.00453595
-681.04,-0.00455121
-680.27,-0.00442914
-679.5,-0.00464276
-678.74,-0.00459698
-677.97,-0.0047038
-677.2,-0.00447491
-676.4300000000001,-0.00459698
-675.66,-0.00461224
-674.9,-0.00493268
-674.13,-0.0047038
-673.36,-0.00465802
-672.59,-0.00471906
-671.82,-0.00465802
-671.06,-0.00482587
-670.29,-0.00476483
-669.52,-0.0046275
-668.75,-0.00450543
-667.98,-0.00435284
-667.22,-0.0047038
-666.45,-0.00481061
-665.6800000000001,-0.00474957
-664.9100000000001,-0.00456647
-664.14,-0.00476483
-663.38,-0.00445966
-662.61,-0.00465802
-661.8399999999999,-0.00459698
-661.0699999999999,-0.0047038
-660.3,-0.00455121
-659.54,-0.00481061
-658.77,-0.00439862
-658.0,-0.00453595
-657.23,-0.00471906
-656.46,-0.00481061
-655.7,-0.00465802
-654.9300000000001,-0.00453595
-654.1600000000001,-0.00453595
-653.3900000000001,-0.00455121
-652.62,-0.00455121
-651.86,-0.00471906
-651.09,-0.00471906
-650.3199999999999,-0.00455121
-649.55,-0.00459698
-648.78,-0.00459698
-648.02,-0.0047038
-647.25,-0.00468854
-646.48,-0.00476483
-645.71,-0.00458173
-644.94,-0.00452069
-644.18,-0.00455121
-643.41,-0.00456647
-642.64,-0.00459698
