Time/us,Voltage/V
-841.37,-0.0019267
-840.6999999999999,-0.00188092
-840.02,-0.00188092
-839.3499999999999,-0.0018504
-838.6800000000001,-0.00174359
-838.01,-0.0018504
-837.3399999999999,-0.00188092
-836.66,-0.00195721
-835.99,-0.00200299
-835.32,-0.00197247
-834.65,-0.00186566
-833.98,-0.00204877
-833.3,-0.00194196
-832.63,-0.00194196
-831.96,-0.00197247
-831.29,-0.00224713
-830.62,-0.0019267
-829.94,-0.00206403
-829.27,-0.00209454
-828.6,-0.0019267
-827.9300000000001,-0.0023692
-827.26,-0.0018504
-826.58,-0.00181989
-825.91,-0.00200299
-825.24,-0.00151471
-824.57,-0.00178937
-823.9,-0.00209454
-823.22,-0.00171307
-822.55,-0.00186566
-821.88,-0.00201825
-821.21,-0.00162152
-820.54,-0.00221661
-819.86,-0.00220135
-819.1899999999999,-0.00149945
-818.52,-0.00189618
-817.85,-0.00174359
-817.18,-0.00181989
-816.5,-0.00212506
-815.83,-0.00156049
-815.16,-0.0021098
-814.49,-0.0021098
-813.82,-0.0016673
-813.14,-0.001591
-812.47,-0.00224713
-811.8,-0.00175885
-811.13,-0.00226239
-810.46,-0.00180463
-809.7800000000001,-0.00200299
-809.11,-0.00195721
-808.4399999999999,-0.00200299
-807.7700000000001,-0.0018504
-807.1,-0.00183514
-806.4200000000001,-0.00181989
-805.75,-0.00204877
-805.0799999999999,-0.00220135
-804.4100000000001,-0.00152997
-803.74,-0.00191144
-803.0600000000001,-0.00162152
-802.39,-0.0018504
-801.72,-0.00209454
-801.05,-0.00186566
-800.38,-0.001591
-799.7,-0.0019267
-799.03,-0.00177411
-798.36,-0.00168256
-797.6899999999999,-0.00201825
-797.02,-0.00209454
-796.3399999999999,-0.00151471
-795.6700000000001,-0.00134686
-795.0,-0.00183514
-794.3299999999999,-0.00157574
-793.6600000000001,-0.00209454
-792.9799999999999,-0.0019267
-792.3100000000001,-0.00149945
-791.64,-0.00171307
-790.9699999999999,-0.00183514
-790.3000000000001,-0.00168256
-789.62,-0.00165204
-788.95,-0.00207928
-788.28,-0.00195721
-787.61,-0.00174359
-786.94,-0.00214032
-786.26,-0.0014079
-785.59,-0.00201825
-784.92,-0.00214032
-784.25,-0.00160626
-783.58,-0.00181989
-782.9,-0.0018504
-782.23,-0.00177411
-781.5600000000001,-0.00183514
-780.89,-0.00189618
-780.22,-0.00201825
-779.54,-0.00122479
-778.87,-0.0018504
-778.2,-0.00169781
-777.53,-0.00191144
-776.8599999999999,-0.00195721
-776.18,-0.00188092
-775.5100000000001,-0.00134686
-774.84,-0.00178937
-774.17,-0.00177411
-773.5,-0.00169781
-772.8199999999999,-0.00197247
-772.15,-0.00223187
-771.48,-0.00154523
-770.81,-0.001591
-770.14,-0.00181989
-769.46,-0.00131635
-768.79,-0.00189618
-768.12,-0.00168256
-767.45,-0.00136212
-766.78,-0.00168256
-766.1,-0.001591
-765.43,-0.00154523
-764.76,-0.00162152
-764.09,-0.00171307
-763.42,-0.00197247
-762.74,-0.00154523
-762.0699999999999,-0.00195721
-761.4000000000001,-0.00149945
-760.73,-0.00180463
-760.06,-0.00206403
-759.38,-0.00203351
-758.7099999999999,-0.0016673
-758.0400000000001,-0.00197247
-757.37,-0.00201825
-756.6999999999999,-0.0019267
-756.02,-0.0019267
