Time/us,Current/uA
-559.0,-1.6998024316109424
-558.4,-1.954887537993921
-557.9,-1.3519574468085107
-557.3,-1.7925592705167173
-556.7999999999998,-1.9316990881458966
-556.2,-1.7693708206686931
-555.6,-2.349112462006079
-555.1,-1.9085075987841946
-554.5,-1.7925592705167173
-553.9999999999999,-1.954887537993921
-553.4,-1.3751458966565349
-552.8,-2.0244559270516724
-552.3,-1.6070425531914894
-551.7,-1.7925592705167173
-551.1999999999999,-2.1867841945288755
-550.5999999999999,-2.1404042553191487
-550.0,-2.0940243161094223
-549.5,-2.0244559270516724
-548.9,-1.7693708206686931
-548.4,-1.6534224924012157
-547.8,-1.9316990881458966
-547.2,-1.8853191489361703
-546.7,-1.9316990881458966
-546.1,-2.441869300911854
-545.6,-1.954887537993921
-545.0,-1.954887537993921
-544.4,-1.9780759878419454
-543.9,-1.3519574468085107
-543.3,-2.047647416413374
-542.8,-1.954887537993921
-542.2,-2.047647416413374
-541.5999999999999,-2.534629179331307
-541.1,-2.441869300911854
-540.5,-2.302732522796352
-540.0,-2.2099726443769
-539.4,-1.6998024316109424
-538.8,-2.325920972644377
-538.3,-2.1867841945288755
-537.7,-1.9780759878419454
-537.2,-2.27954103343465
-536.6,-2.256352583586626
-536.0,-2.0940243161094223
-535.5,-2.1404042553191487
-534.9,-1.6998024316109424
-534.4,-1.862127659574468
-533.8,-2.4186808510638302
-533.2,-2.325920972644377
-532.7,-2.302732522796352
-532.1,-2.9056626139817627
-531.6,-2.302732522796352
-531.0,-2.27954103343465
-530.4,-2.27954103343465
-529.9000000000001,-1.6302310030395133
-529.3000000000001,-2.2331641337386023
-528.7999999999998,-2.0012674772036476
-528.2,-1.862127659574468
-527.6,-2.534629179331307
-527.1000000000001,-1.9780759878419454
-526.5000000000001,-2.1404042553191487
-525.9999999999999,-2.047647416413374
-525.3999999999999,-1.6534224924012157
-524.7999999999998,-2.0012674772036476
-524.3,-1.8853191489361703
-523.7000000000002,-1.838939209726444
-523.2,-2.325920972644377
-522.6,-2.325920972644377
-522.0,-2.163595744680851
-521.5,-2.2099726443769
-520.9,-1.862127659574468
-520.4,-1.7925592705167173
-519.8,-2.1172158054711243
-519.2,-1.954887537993921
-518.7,-2.047647416413374
-518.1,-2.5810091185410333
-517.6,-2.070835866261398
-517.0,-2.1172158054711243
-516.4,-2.2331641337386023
-515.9,-1.491094224924012
-515.3,-1.9780759878419454
-514.8,-2.047647416413374
-514.2,-2.2099726443769
-513.6,-2.511437689969605
-513.1,-2.163595744680851
-512.5,-1.9780759878419454
-512.0,-1.862127659574468
-511.4,-1.6302310030395133
-510.80000000000007,-1.862127659574468
-510.3,-1.8853191489361703
-509.7,-2.2099726443769
-509.20000000000005,-2.4186808510638302
-508.6,-2.1404042553191487
-508.0,-2.0012674772036476
-507.49999999999994,-1.9316990881458966
-506.8999999999999,-1.6302310030395133
