Time/us,Voltage/V
-555.0,-0.00956342
-554.4,-0.00948712
-553.9,-0.00944135
-553.3,-0.00956342
-552.7999999999998,-0.00944135
-552.2,-0.00934979
-551.6,-0.00960919
-551.1,-0.00957867
-550.5,-0.00950238
-549.9999999999999,-0.00939557
-549.4,-0.0094566
-548.8,-0.00948712
-548.3,-0.00924298
-547.7,-0.00947186
-547.1999999999999,-0.00933453
-546.5999999999999,-0.00941083
-546.0,-0.00948712
-545.5,-0.00924298
-544.9,-0.00938031
-544.4,-0.00930402
-543.8,-0.00939557
-543.2,-0.00921246
-542.7,-0.00939557
-542.1,-0.00941083
-541.6,-0.00931927
-541.0,-0.00933453
-540.4,-0.00934979
-539.9,-0.00954816
-539.3,-0.00938031
-538.8,-0.00948712
-538.2,-0.00951764
-537.5999999999999,-0.00947186
-537.1,-0.00956342
-536.5,-0.00944135
-536.0,-0.00938031
-535.4,-0.00948712
-534.8,-0.00960919
-534.3,-0.0095329
-533.7,-0.00939557
-533.2,-0.00938031
-532.6,-0.00939557
-532.0,-0.00936505
-531.5,-0.00939557
-530.9,-0.00941083
-530.4,-0.00931927
-529.8,-0.00933453
-529.2,-0.00931927
-528.7,-0.00934979
-528.1,-0.00916669
-527.6,-0.00924298
-527.0,-0.00938031
-526.4,-0.00939557
-525.9000000000001,-0.00936505
-525.3000000000001,-0.00938031
-524.7999999999998,-0.00939557
-524.2,-0.00925824
-523.6,-0.0095329
-523.1000000000001,-0.0094566
-522.5000000000001,-0.0092735
-521.9999999999999,-0.00931927
-521.3999999999999,-0.00918195
-520.7999999999998,-0.00936505
-520.3,-0.00950238
-519.7000000000002,-0.00925824
-519.2,-0.0092735
-518.6,-0.00930402
-518.0,-0.00928876
-517.5,-0.00938031
-516.9,-0.00950238
-516.4,-0.00938031
-515.8,-0.00928876
-515.2,-0.0094566
-514.7,-0.0092735
-514.1,-0.00941083
-513.6,-0.00944135
-513.0,-0.00948712
-512.4,-0.00967023
-511.9,-0.00938031
-511.29999999999995,-0.00956342
-510.79999999999995,-0.00941083
-510.20000000000005,-0.00960919
-509.6,-0.00928876
-509.1,-0.00928876
-508.5,-0.00938031
-508.0,-0.00924298
-507.4,-0.00960919
-506.80000000000007,-0.00931927
-506.3,-0.00938031
-505.7,-0.00938031
-505.20000000000005,-0.00931927
-504.6,-0.00938031
-504.0,-0.0091972
-503.49999999999994,-0.00930402
-502.8999999999999,-0.00939557
-502.4,-0.00944135
-501.80000000000007,-0.00939557
-501.20000000000005,-0.00951764
-500.7,-0.00921246
-500.09999999999997,-0.00930402
-499.6,-0.00933453
-499.0,-0.00947186
-498.4,-0.00934979
-497.90000000000003,-0.00938031
-497.3,-0.0091972
-496.79999999999995,-0.00931927
-496.19999999999993,-0.0092735
-495.6,-0.00931927
-495.1000000000001,-0.00933453
-494.50000000000006,-0.00925824
-494.0,-0.00924298
-493.4,-0.00912091
-492.79999999999995,-0.0091972
-492.3,-0.00933453
-491.7,-0.00947186
-491.20000000000005,-0.00928876
-490.6,-0.00934979
-490.0,-0.00947186
-489.50000000000006,-0.0094566
-488.90000000000003,-0.00941083
-488.4000000000001,-0.00933453
-487.79999999999995,-0.0094566
-487.19999999999993,-0.00934979
-486.7,-0.00933453
-486.1000000000001,-0.00931927
-485.6000000000001,-0.00947186
-485.0,-0.00933453
-484.4,-0.00922772
-483.8999999999999,-0.00931927
-483.3,-0.00933453
-482.8,-0.00925824
-482.2,-0.00934979
-481.6000000000001,-0.00915143
-481.1000000000001,-0.0092735
-480.50000000000006,-0.00918195
-479.99999999999994,-0.00933453
-479.4,-0.00931927
-478.8,-0.00941083
-478.3,-0.0094566
-477.7,-0.00959393
-477.2,-0.0094566
-476.6,-0.00933453
-476.0,-0.00939557
-475.49999999999994,-0.00947186
-474.9,-0.00950238
-474.3999999999999,-0.00941083
-473.8,-0.00939557
-473.20000000000005,-0.0094566
-472.7,-0.00944135
-472.1,-0.00936505
-471.59999999999997,-0.00928876
-470.99999999999994,-0.00936505
-470.4,-0.00925824
-469.8999999999999,-0.0092735
-469.3,-0.00941083
-468.8,-0.00928876
-468.2,-0.0091972
-467.6,-0.00948712
-467.09999999999997,-0.00956342
-466.49999999999994,-0.00944135
-466.0,-0.00944135
-465.4,-0.0091972
-464.8,-0.00921246
-464.30000000000007,-0.00939557
-463.7,-0.00928876
-463.19999999999993,-0.00934979
-462.6,-0.00938031
-461.99999999999994,-0.0094566
-461.5,-0.00938031
-460.9,-0.0091972
-460.4,-0.00941083
-459.79999999999995,-0.00931927
-459.19999999999993,-0.00922772
-458.69999999999993,-0.00938031
-458.1,-0.00934979
-457.6,-0.00951764
-457.0,-0.00942609
-456.4,-0.00941083
-455.9,-0.00939557
-455.29999999999995,-0.00939557
-454.8,-0.00925824
-454.19999999999993,-0.00933453
-453.6,-0.00942609
-453.1,-0.00936505
-452.5,-0.00934979
-452.00000000000006,-0.00954816
-451.4,-0.00954816
-450.79999999999995,-0.00924298
-450.3,-0.00936505
-449.7,-0.0092735
-449.2,-0.00936505
-448.6,-0.00947186
-448.0,-0.00931927
-447.50000000000006,-0.00939557
-446.90000000000003,-0.00924298
-446.3999999999999,-0.00965497
-445.8,-0.00938031
-445.2,-0.0095329
-444.7,-0.00965497
-444.1000000000001,-0.00948712
-443.6000000000001,-0.0094566
-443.00000000000006,-0.00957867
-442.40000000000003,-0.00936505
-441.9,-0.0095329
-441.3,-0.00930402
-440.8,-0.00928876
-440.2,-0.00928876
-439.6000000000001,-0.00939557
-439.1,-0.00938031
-438.49999999999994,-0.00942609
-438.0,-0.00928876
-437.4,-0.0092735
-436.8,-0.0092735
-436.30000000000007,-0.00956342
-435.7,-0.00928876
-435.20000000000005,-0.0094566
-434.6,-0.00941083
-434.0,-0.00938031
-433.5,-0.00930402
-432.9,-0.00947186
-432.4,-0.00944135
-431.80000000000007,-0.00916669
-431.20000000000005,-0.00944135
-430.70000000000005,-0.00939557
-430.1,-0.00931927
-429.59999999999997,-0.00931927
-429.0,-0.00941083
-428.4,-0.00925824
-427.9,-0.00936505
-427.30000000000007,-0.00933453
-426.8,-0.00918195
-426.20000000000005,-0.0094566
-425.6,-0.00942609
-425.09999999999997,-0.00957867
-424.5,-0.00944135
-424.0,-0.00924298
-423.4,-0.00922772
-422.80000000000007,-0.00934979
-422.29999999999995,-0.00944135
-421.7,-0.00944135
-421.19999999999993,-0.00918195
-420.6,-0.00942609
-420.0,-0.00915143
-419.5,-0.00928876
-418.9,-0.00951764
-418.4,-0.00947186
-417.79999999999995,-0.00954816
-417.2,-0.00960919
-416.69999999999993,-0.00933453
-416.1,-0.00928876
-415.6,-0.0091972
-415.0,-0.00930402
-414.4,-0.00957867
-413.9,-0.00922772
-413.29999999999995,-0.00934979
-412.8,-0.00930402
-412.19999999999993,-0.00944135
-411.6,-0.00924298
-411.1,-0.00954816
-410.5,-0.00960919
-410.00000000000006,-0.0095329
-409.4,-0.00951764
-408.79999999999995,-0.00968549
-408.3,-0.00951764
-407.7,-0.00942609
-407.2,-0.00930402
-406.6,-0.00928876
-406.0,-0.00954816
-405.50000000000006,-0.00921246
-404.90000000000003,-0.00924298
-404.3999999999999,-0.00916669
-403.8,-0.00930402
-403.2,-0.00947186
-402.7,-0.00928876
-402.1000000000001,-0.0095329
-401.59999999999997,-0.00938031
-400.99999999999994,-0.00944135
-400.3999999999999,-0.00939557
-399.9,-0.00939557
-399.3,-0.00938031
-398.8,-0.00934979
-398.2,-0.00930402
-397.59999999999997,-0.00938031
-397.1,-0.00933453
-396.49999999999994,-0.00947186
-396.0,-0.0092735
-395.4,-0.00944135
-394.8,-0.00934979
-394.30000000000007,-0.00930402
-393.7,-0.00936505
-393.2,-0.00912091
-392.6000000000001,-0.00938031
-392.0,-0.00930402
-391.5,-0.00931927
-390.9,-0.00921246
-390.4,-0.00924298
-389.8,-0.00910565
-389.2,-0.00913617
