Time/us,Current/uA
-536.0999999999999,-2.1867841945288755
-535.4999999999999,-2.0940243161094223
-534.9,-2.1404042553191487
-534.4,-2.047647416413374
-533.8,-2.2099726443769
-533.2999999999998,-2.0244559270516724
-532.7,-2.1867841945288755
-532.1,-2.302732522796352
-531.6,-1.9316990881458966
-531.0,-2.302732522796352
-530.4999999999999,-2.163595744680851
-529.8999999999999,-2.3723009118541034
-529.3,-2.325920972644377
-528.8,-2.27954103343465
-528.2,-2.395489361702128
-527.6999999999999,-2.1172158054711243
-527.0999999999999,-2.1172158054711243
-526.4999999999999,-2.1867841945288755
-526.0,-2.2099726443769
-525.4,-1.954887537993921
-524.9,-1.9780759878419454
-524.3,-2.1404042553191487
-523.6999999999999,-1.9316990881458966
-523.2,-1.9085075987841946
-522.6,-2.047647416413374
-522.1,-2.047647416413374
-521.5,-1.6998024316109424
-520.9,-1.3751458966565349
-520.4,-2.743334346504559
-519.8,-1.6302310030395133
-519.3,-1.9316990881458966
-518.7,-1.7693708206686931
-518.1,-1.8853191489361703
-517.6,-1.8157507598784193
-517.0,-1.7693708206686931
-516.5,-1.8157507598784193
-515.9,-1.9316990881458966
-515.3,-2.0012674772036476
-514.8,-1.9316990881458966
-514.2,-1.862127659574468
-513.7,-1.862127659574468
-513.1,-1.9780759878419454
-512.5,-1.9780759878419454
-512.0,-1.8853191489361703
-511.4,-2.0244559270516724
-510.9,-2.27954103343465
-510.29999999999995,-2.047647416413374
-509.70000000000005,-2.0940243161094223
-509.20000000000005,-2.0244559270516724
-508.6,-1.954887537993921
-508.1,-1.862127659574468
-507.5,-2.070835866261398
-506.9,-2.0940243161094223
-506.40000000000003,-2.047647416413374
-505.8,-2.070835866261398
-505.29999999999995,-2.163595744680851
-504.69999999999993,-2.163595744680851
-504.1,-1.954887537993921
-503.6000000000001,-1.8853191489361703
-503.00000000000006,-1.954887537993921
-502.5,-1.9085075987841946
-501.9,-2.1867841945288755
-501.29999999999995,-1.954887537993921
-500.8,-2.070835866261398
-500.2,-2.1404042553191487
-499.70000000000005,-2.0244559270516724
-499.1,-1.9780759878419454
-498.5,-1.7925592705167173
