Time/us,Voltage/V
-535.0999999999999,-0.00616071
-534.4999999999999,-0.00625226
-533.9,-0.00638959
-533.4,-0.0064201
-532.8,-0.00620648
-532.2999999999998,-0.00626752
-531.7,-0.00640485
-531.1,-0.00643536
-530.6,-0.00638959
-530.0,-0.0064964
-529.4999999999999,-0.00637433
-528.8999999999999,-0.00648114
-528.3,-0.00648114
-527.8,-0.0064201
-527.2,-0.00634381
-526.6999999999999,-0.00645062
-526.0999999999999,-0.00646588
-525.4999999999999,-0.00646588
-525.0,-0.00658795
-524.4,-0.00629803
-523.9,-0.00661847
-523.3,-0.00638959
-522.6999999999999,-0.00638959
-522.2,-0.00622174
-521.6,-0.00637433
-521.1,-0.0064201
-520.5,-0.00664899
-519.9,-0.00661847
-519.4,-0.00635907
-518.8,-0.00634381
-518.3,-0.00634381
-517.7,-0.00655743
-517.1,-0.00631329
-516.6,-0.0064964
-516.0,-0.0064964
-515.5,-0.0064964
-514.9,-0.00652692
-514.3,-0.0064964
-513.8,-0.00631329
-513.2,-0.00638959
-512.7,-0.00646588
-512.1,-0.0064201
-511.5,-0.00648114
-511.0,-0.0064201
-510.4,-0.00634381
-509.9,-0.00620648
-509.29999999999995,-0.00629803
-508.70000000000005,-0.00638959
-508.20000000000005,-0.00643536
-507.6,-0.00638959
-507.1,-0.00622174
-506.5,-0.00643536
-505.9,-0.00637433
-505.40000000000003,-0.00632855
-504.8,-0.00648114
-504.29999999999995,-0.00626752
-503.69999999999993,-0.00652692
-503.1,-0.0064201
-502.6000000000001,-0.00652692
-502.00000000000006,-0.00629803
-501.5,-0.00634381
-500.9,-0.00634381
-500.29999999999995,-0.00634381
-499.8,-0.006237
-499.2,-0.00643536
-498.70000000000005,-0.00654218
-498.1,-0.00654218
-497.5,-0.0064964
-496.99999999999994,-0.00643536
-496.3999999999999,-0.00629803
-495.9,-0.00634381
-495.29999999999995,-0.00643536
-494.69999999999993,-0.0064964
-494.2,-0.00651166
-493.6000000000001,-0.0064964
-493.1,-0.00658795
-492.5,-0.0064964
-491.9,-0.00635907
-491.3999999999999,-0.00620648
-490.8,-0.00634381
-490.30000000000007,-0.00648114
-489.70000000000005,-0.00648114
-489.1,-0.00640485
-488.59999999999997,-0.00648114
-487.99999999999994,-0.00671002
-487.5,-0.00648114
-486.9,-0.00672528
-486.30000000000007,-0.0067558
-485.8,-0.0064201
-485.2,-0.00638959
-484.70000000000005,-0.0064201
-484.1,-0.00658795
-483.5,-0.00674054
-483.0,-0.00661847
-482.4,-0.00666425
-481.9,-0.0064201
-481.30000000000007,-0.00628278
-480.70000000000005,-0.00651166
-480.20000000000005,-0.00652692
-479.6,-0.00645062
-479.1,-0.00634381
-478.5,-0.0064201
-477.9,-0.00643536
-477.4,-0.00640485
-476.80000000000007,-0.00655743
-476.3,-0.00643536
-475.7,-0.00643536
-475.1,-0.00628278
-474.6,-0.00645062
-474.0,-0.00632855
-473.50000000000006,-0.00654218
-472.90000000000003,-0.00635907
-472.29999999999995,-0.00628278
-471.8,-0.00632855
-471.2,-0.0064201
-470.7,-0.00640485
-470.1000000000001,-0.00629803
-469.5,-0.00654218
-469.00000000000006,-0.00640485
-468.40000000000003,-0.00646588
-467.9,-0.00655743
-467.3,-0.00638959
-466.7,-0.00637433
-466.2,-0.00638959
-465.6000000000001,-0.00652692
-465.1,-0.00654218
-464.5,-0.00661847
-463.90000000000003,-0.00658795
-463.4,-0.00648114
-462.8,-0.00648114
-462.3,-0.00646588
-461.69999999999993,-0.0064964
-461.1000000000001,-0.0064201
-460.6,-0.00640485
-460.0,-0.00634381
-459.49999999999994,-0.00634381
-458.8999999999999,-0.00638959
-458.3,-0.00660321
-457.8,-0.00648114
-457.2,-0.0064201
-456.7,-0.00655743
-456.1,-0.00655743
-455.5,-0.00658795
-454.99999999999994,-0.00645062
-454.3999999999999,-0.00635907
-453.8999999999999,-0.00638959
-453.3,-0.00632855
-452.7,-0.00643536
-452.2,-0.00652692
-451.59999999999997,-0.0064964
-451.09999999999997,-0.00648114
-450.49999999999994,-0.00645062
-449.8999999999999,-0.00640485
-449.4,-0.00628278
-448.8,-0.00640485
-448.3,-0.00648114
-447.7,-0.00645062
-447.09999999999997,-0.00635907
-446.6,-0.00635907
-445.99999999999994,-0.00640485
-445.5,-0.00634381
-444.9,-0.00637433
-444.3,-0.00648114
-443.80000000000007,-0.00634381
-443.2,-0.00629803
-442.70000000000005,-0.00648114
-442.1,-0.00637433
-441.5,-0.00632855
-441.0,-0.00632855
-440.4,-0.00637433
-439.9,-0.00632855
-439.30000000000007,-0.00632855
-438.70000000000005,-0.00635907
-438.19999999999993,-0.00635907
-437.6,-0.00632855
-437.1,-0.00646588
-436.5,-0.0064964
-435.9,-0.0064964
-435.4,-0.00651166
-434.79999999999995,-0.00635907
-434.3,-0.00625226
-433.69999999999993,-0.00640485
-433.1,-0.00643536
-432.6,-0.00655743
-432.0,-0.00661847
-431.50000000000006,-0.00671002
-430.90000000000003,-0.0064201
-430.29999999999995,-0.00660321
-429.8,-0.00645062
-429.2,-0.00648114
-428.7,-0.00654218
-428.1000000000001,-0.00645062
-427.5,-0.00666425
-427.00000000000006,-0.0064964
-426.40000000000003,-0.0064964
-425.90000000000003,-0.00635907
-425.3,-0.00638959
-424.7,-0.00638959
-424.2,-0.00640485
-423.6000000000001,-0.0064964
-423.1000000000001,-0.00651166
-422.50000000000006,-0.00664899
-421.90000000000003,-0.00645062
-421.4,-0.00643536
-420.8,-0.00648114
-420.3,-0.00632855
-419.7,-0.00655743
-419.1000000000001,-0.00643536
-418.6,-0.00652692
-418.00000000000006,-0.00661847
-417.49999999999994,-0.00658795
-416.9,-0.00655743
-416.3,-0.00648114
-415.8,-0.0064201
-415.20000000000005,-0.00646588
-414.7,-0.00645062
-414.1,-0.0064964
-413.5,-0.00657269
-412.99999999999994,-0.0064201
-412.4,-0.00640485
-411.8999999999999,-0.00643536
-411.3,-0.00643536
-410.70000000000005,-0.0064964
-410.2,-0.00645062
-409.6,-0.00632855
-409.09999999999997,-0.00637433
-408.49999999999994,-0.00646588
-407.9,-0.00645062
-407.3999999999999,-0.00645062
-406.8,-0.00646588
-406.3,-0.00638959
-405.7,-0.0064201
-405.09999999999997,-0.0064201
-404.59999999999997,-0.00648114
-403.99999999999994,-0.00683209
-403.5,-0.00648114
-402.9,-0.00651166
-402.3,-0.00660321
-401.80000000000007,-0.00645062
-401.2,-0.00648114
-400.69999999999993,-0.00645062
-400.1,-0.00645062
-399.49999999999994,-0.00638959
-399.0,-0.0064964
-398.4,-0.0064201
-397.9,-0.0064201
-397.29999999999995,-0.0064201
-396.69999999999993,-0.00640485
-396.19999999999993,-0.0064201
-395.6,-0.00626752
-395.1,-0.00635907
-394.5,-0.00638959
-393.9,-0.00634381
-393.4,-0.00637433
-392.8,-0.00654218
-392.3,-0.00635907
-391.7,-0.00626752
-391.1,-0.00634381
-390.6,-0.0064964
-390.0,-0.0067558
-389.5,-0.0064964
-388.9,-0.00666425
-388.3,-0.00645062
-387.8,-0.00645062
-387.2,-0.0066795
-386.7,-0.00655743
-386.1,-0.00657269
-385.5,-0.00654218
-385.0,-0.00638959
-384.4,-0.00646588
-383.9,-0.00646588
-383.3,-0.0064201
-382.7,-0.00634381
-382.2,-0.00631329
-381.6,-0.00635907
-381.1,-0.00625226
-380.5,-0.0064201
-379.9,-0.00645062
-379.4,-0.00646588
-378.8,-0.0064201
-378.3,-0.00625226
-377.7,-0.00669476
-377.1,-0.00634381
-376.6,-0.00637433
-376.0,-0.0066795
-375.50000000000006,-0.00643536
-374.90000000000003,-0.00658795
-374.3,-0.00645062
-373.80000000000007,-0.00637433
-373.2,-0.00632855
-372.7,-0.00635907
-372.1000000000001,-0.00629803
-371.5,-0.00654218
-371.0,-0.00638959
-370.4,-0.00655743
-369.9,-0.00651166
-369.30000000000007,-0.00634381
-368.70000000000005,-0.00634381
-368.2,-0.00661847
-367.6000000000001,-0.00638959
-367.09999999999997,-0.00637433
-366.5,-0.0067558
-365.9,-0.00651166
-365.4,-0.00666425
-364.8,-0.00666425
-364.3,-0.00634381
-363.7,-0.00631329
-363.1,-0.00640485
-362.59999999999997,-0.00658795
-362.0,-0.00655743
-361.5,-0.0064964
-360.9,-0.00651166
-360.3,-0.00643536
-359.8,-0.00643536
-359.2,-0.00646588
-358.7,-0.00652692
-358.1,-0.00652692
-357.5,-0.00651166
-357.0,-0.00643536
-356.4,-0.00640485
-355.9,-0.00654218
-355.3,-0.00654218
-354.7,-0.00635907
-354.2,-0.00661847
-353.6,-0.00648114
-353.1,-0.0064964
-352.5,-0.00672528
-351.9,-0.00663373
-351.3999999999999,-0.00674054
-350.8,-0.0064964
-350.3,-0.00646588
-349.69999999999993,-0.00648114
-349.1,-0.0064964
-348.6,-0.00628278
-347.99999999999994,-0.00654218
-347.5,-0.00654218
-346.9,-0.0064964
-346.29999999999995,-0.00664899
-345.8,-0.00651166
-345.2,-0.00638959
-344.7,-0.0064201
-344.1,-0.00661847
-343.5,-0.00666425
-343.0,-0.00651166
-342.4,-0.00648114
-341.9,-0.00646588
-341.3,-0.00646588
-340.7,-0.00638959
-340.2,-0.00655743
-339.6,-0.00637433
-339.1,-0.00625226
-338.5,-0.00652692
-337.9,-0.00635907
-337.4,-0.0064964
-336.8,-0.00635907
-336.3,-0.00640485
-335.7,-0.00655743
-335.1,-0.00645062
-334.6,-0.00657269
-334.0,-0.00658795
-333.5,-0.00620648
-332.9,-0.0064964
-332.3,-0.00629803
-331.80000000000007,-0.00645062
-331.2,-0.00654218
-330.7,-0.00643536
-330.1000000000001,-0.0064964
-329.5,-0.0064964
