Time/us,Current/uA
-559.0,-2.302732522796352
-558.4,-2.1867841945288755
-557.9,-2.395489361702128
-557.3,-2.2331641337386023
-556.7999999999998,-1.9316990881458966
-556.2,-2.047647416413374
-555.6,-1.746179331306991
-555.1,-2.302732522796352
-554.5,-2.1172158054711243
-553.9999999999999,-2.0244559270516724
-553.4,-2.5810091185410333
-552.8,-2.2099726443769
-552.3,-1.8853191489361703
-551.7,-2.2099726443769
-551.1999999999999,-2.070835866261398
-550.5999999999999,-1.6302310030395133
-550.0,-2.2099726443769
-549.5,-2.349112462006079
-548.9,-1.9780759878419454
-548.4,-2.302732522796352
-547.8,-1.9316990881458966
-547.2,-2.1867841945288755
-546.7,-2.070835866261398
-546.1,-1.1664407294832828
-545.6,-2.0244559270516724
-545.0,-2.047647416413374
-544.4,-2.2099726443769
-543.9,-2.4186808510638302
-543.3,-2.1404042553191487
-542.8,-2.070835866261398
-542.2,-2.27954103343465
-541.5999999999999,-1.5838541033434652
-541.1,-2.2331641337386023
-540.5,-2.302732522796352
-540.0,-2.2099726443769
-539.4,-2.4186808510638302
-538.8,-2.48824924012158
-538.3,-2.1867841945288755
-537.7,-2.0244559270516724
-537.2,-2.1172158054711243
-536.6,-1.7693708206686931
-536.0,-2.1404042553191487
-535.5,-2.27954103343465
-534.9,-2.465060790273556
-534.4,-2.6505775075987845
-533.8,-2.6969574468085105
-533.2,-2.534629179331307
-532.7,-1.7693708206686931
-532.1,-1.9085075987841946
-531.6,-2.0012674772036476
-531.0,-2.48824924012158
-530.4,-2.1172158054711243
-529.9000000000001,-2.812905775075988
-529.3000000000001,-2.2099726443769
-528.7999999999998,-1.9780759878419454
-528.2,-2.0012674772036476
-527.6,-1.491094224924012
-527.1000000000001,-1.7693708206686931
-526.5000000000001,-1.8853191489361703
-525.9999999999999,-2.0940243161094223
-525.3999999999999,-1.7693708206686931
-524.7999999999998,-2.766525835866261
-524.3,-1.838939209726444
-523.7000000000002,-1.9780759878419454
-523.2,-2.1404042553191487
-522.6,-1.5838541033434652
-522.0,-2.27954103343465
-521.5,-1.9085075987841946
-520.9,-1.862127659574468
-520.4,-2.465060790273556
-519.8,-1.8157507598784193
-519.2,-2.1172158054711243
-518.7,-1.9316990881458966
-518.1,-1.7693708206686931
-517.6,-1.9780759878419454
