Time/us,Voltage/V,Current/uA
-32.0,0.00043262186456558785,-1.9528893001557683
-31.980000000000004,0.0012758775483304122,-1.696957887905591
-31.959999999999994,0.0021651468581454724,-1.432871651753364
-31.939999999999998,0.002952179364374488,-1.1684451114379122
-31.92,0.0033047162374065546,-0.9461577219275557
-31.89999999999999,0.003235471471516313,-0.7926700529846895
-31.879999999999995,0.0031025904061216746,-0.6851080757957145
-31.86,0.0030816020806856215,-0.602254039305996
-31.840000000000003,0.0031717495660190634,-0.5411198709871166
-31.819999999999993,0.003376283967751166,-0.4821622060439036
-31.799999999999997,0.003702581675166328,-0.4059161737440009
-31.78,0.003982089083904623,-0.3269706186104353
-31.760000000000005,0.003864243828817893,-0.25981702877467006
-31.739999999999995,0.003344795903699468,-0.20203355726974717
-31.72,0.002765654387800702,-0.15153628385332732
-31.700000000000003,0.002286254251433994,-0.10650405989043363
-31.680000000000007,0.001889306265995803,-0.06531282990932383
-31.659999999999997,0.0015604947816910144,-0.02647706118361658
-31.64,0.0012879614436958273,0.011403830960238125
-31.61999999999999,0.0010618775289347843,0.049695994243734054
-31.60000000000001,0.0008740894800987212,0.08978040859263837
-31.58,0.0007178248533374008,0.13310269020633228
-31.560000000000002,0.000587448074837267,0.19856383071872863
-31.539999999999992,0.00047825719781714954,0.30586324413262417
-31.52000000000001,0.00038631433012597513,0.42419340023530466
-31.5,0.00030830361693311045,0.5058059807578502
-31.480000000000004,0.00024141165675699023,0.5536442859927325
-31.459999999999994,0.00018322603812024422,0.5867721747882076
-31.440000000000012,0.00013164833762718185,0.5890457771144597
-31.42,8.481844180051493e-05,0.5605470888396379
-31.400000000000006,4.104746339760839e-05,0.5349255328829952
-31.379999999999995,-1.24316711959402e-06,0.5112570858567409
-31.36,-4.3578631584249935e-05,0.47134955784256827
-31.340000000000003,-8.748572873428593e-05,0.4311023159521462
-31.319999999999993,-0.0001345479371345979,0.4064024757552255
-31.299999999999997,-0.00018646252221733012,0.3963592548943542
-31.279999999999987,-0.00024510174696545917,0.40061045167577525
-31.260000000000005,-0.0003125803937599173,0.41930938252019234
-31.239999999999995,-0.00039133203251816187,0.45313041121160663
