Decimal Number     Rwb in ohms                  Lower limit                              Upper Limit
159                62239.375                    57260.225                                67218.525
160                62630                        57619.6                                  67640.4
161                63020.625                    57978.975                                68062.275
162                63411.25                     58338.35                                 68484.15
163                63801.875                    58697.725                                68906.025
164                64192.5                      59057.1                                  69327.9
165                64583.125                    59416.475                                69749.775
166                64973.75                     59775.85                                 70171.65
167                65364.375                    60135.225                                70593.525
168                65755                        60494.6                                  71015.4
169                66145.625                    60853.975                                71437.275
170                66536.25                     61213.35                                 71859.15
171                66926.875                    61572.725                                72281.025
172                67317.5                      61932.1                                  72702.9
173                67708.125                    62291.475                                73124.775
174                68098.75                     62650.85                                 73546.65
175                68489.375                    63010.225                                73968.525
176                68880                        63369.6                                  74390.4
177                69270.625                    63728.975                                74812.275
178                69661.25                     64088.35                                 75234.15
179                70051.875                    64447.725                                75656.025
180                70442.5                      64807.1                                  76077.9
181                70833.125                    65166.475                                76499.775
182                71223.75                     65525.85                                 76921.65
183                71614.375                    65885.225                                77343.525
184                72005                        66244.6                                  77765.4
185                72395.625                    66603.975                                78187.275
186                72786.25                     66963.35                                 78609.15
187                73176.875                    67322.725                                79031.025
188                73567.5                      67682.1                                  79452.9
189                73958.125                    68041.475                                79874.775
190                74348.75                     68400.85                                 80296.65
191                74739.375                    68760.225                                80718.525
192                75130                        69119.6                                  81140.4
193                75520.625                    69478.975                                81562.275
194                75911.25                     69838.35                                 81984.15
195                76301.875                    70197.725                                82406.025
196                76692.5                      70557.1                                  82827.9
197                77083.125                    70916.475                                83249.775
198                77473.75                     71275.85                                 83671.65
199                77864.375                    71635.225                                84093.525
200                78255                        71994.6                                  84515.4
201                78645.625                    72353.975                                84937.275
202                79036.25                     72713.35                                 85359.15
203                79426.875                    73072.725                                85781.025
204                79817.5                      73432.1                                  86202.9
205                80208.125                    73791.475                                86624.775
206                80598.75                     74150.85                                 87046.65
207                80989.375                    74510.225                                87468.525
208                81380                        74869.6                                  87890.4
209                81770.625                    75228.975                                88312.275
210                82161.25                     75588.35                                 88734.15
211                82551.875                    75947.725                                89156.025
212                82942.5                      76307.1                                  89577.9
213                83333.125                    76666.475                                89999.775
214                83723.75                     77025.85                                 90421.65
215                84114.375                    77385.225                                90843.525
216                84505                        77744.6                                  91265.4
217                84895.625                    78103.975                                91687.275
218                85286.25                     78463.35                                 92109.15
219                85676.875                    78822.725                                92531.025
220                86067.5                      79182.1                                  92952.9
221                86458.125                    79541.475                                93374.775
222                86848.75                     79900.85                                 93796.65
223                87239.375                    80260.225                                94218.525
224                87630                        80619.6                                  94640.4
225                88020.625                    80978.975                                95062.275
226                88411.25                     81338.35                                 95484.15
227                88801.875                    81697.725                                95906.025
228                89192.5                      82057.1                                  96327.9
229                89583.125                    82416.475                                96749.775
230                89973.75                     82775.85                                 97171.65
231                90364.375                    83135.225                                97593.525
232                90755                        83494.6                                  98015.4
233                91145.625                    83853.975                                98437.275
234                91536.25                     84213.35                                 98859.15
235                91926.875                    84572.725                                99281.025
236                92317.5                      84932.1                                  99702.9
237                92708.125                    85291.475                                100124.775
238                93098.75                     85650.85                                 100546.65
239                93489.375                    86010.225                                100968.525
240                93880                        86369.6                                  101390.4
241                94270.625                    86728.975                                101812.275
242                94661.25                     87088.35                                 102234.15
243                95051.875                    87447.725                                102656.025
244                95442.5                      87807.1                                  103077.9
245                95833.125                    88166.475                                103499.775
246                96223.75                     88525.85                                 103921.65
247                96614.375                    88885.225                                104343.525
248                97005                        89244.6                                  104765.4
249                97395.625                    89603.975                                105187.275
250                97786.25                     89963.35                                 105609.15
251                98176.875                    90322.725                                106031.025
252                98567.5                      90682.1                                  106452.9
253                98958.125                    91041.475                                106874.775
254                99348.75                     91400.85                                 107296.65
255                99739.375                    91760.225                                107718.525
